,symbol,Industry,P/S
747,ALLT,Communication Equipment,5.2265415
86,COMM,Communication Equipment,0.48186028
72,CSCO,Communication Equipment,4.4923515
632,ZBRA,Communication Equipment,5.934838
430,INFN,Communication Equipment,1.4754089
465,WDC,Computer Hardware,1.3054551
38,NTAP,Computer Hardware,3.112432
42,DELL,Computer Hardware,0.77650017
1,ANET,Computer Hardware,11.249975
746,STX,Computer Hardware,1.9168254
406,HPQ,Computer Hardware,0.5851825
294,CAJ,Computer Hardware,0.007474243
170,PSTG,Computer Hardware,3.147619
743,MDLZ,Confectioners,3.2195587
515,BAH,Consulting Services,1.4914122
529,VRSK,Consulting Services,9.975518
533,EFX,Consulting Services,6.46476
595,AAPL,Consumer Electronics,6.690302
284,LPL,Consumer Electronics,0.0003168171
10,IRBT,Consumer Electronics,1.7503711
513,SNE,Consumer Electronics,0
309,GPRO,Consumer Electronics,1.9665995
221,SCCO,Copper,5.226637
296,FCX,Copper,3.1509178
706,TRQ,Copper,0
701,MGI,Credit Services,0.6600392
236,PYPL,Credit Services,15.510478
537,V,Credit Services,23.742027
75,DFS,Credit Services,4.3263645
240,QD,Credit Services,0.18758982
581,MA,Credit Services,23.572895
228,ALLY,Credit Services,2.4285316
317,LX,Credit Services,0.20074752
180,AXP,Credit Services,3.8033473
316,NAVI,Credit Services,1.5263182
247,COF,Credit Services,2.7794485
439,WU,Credit Services,1.973009
216,SYF,Credit Services,3.9962738
727,SLM,Credit Services,2.9626365
27,KSS,Department Stores,0.49870703
200,JWN,Department Stores,0.46970254
642,M,Department Stores,0.30522227
359,JCP,Department Stores,0
239,NVTA,Diagnostics & Research,23.210585
705,SENS,Diagnostics & Research,0
768,DHR,Diagnostics & Research,7.391076
774,IDXX,Diagnostics & Research,19.015253
536,XGN,Diagnostics & Research,6.30253
348,OPK,Diagnostics & Research,1.4015963
356,ONVO,Diagnostics & Research,0
542,TMO,Diagnostics & Research,5.2827463
12,ILMN,Diagnostics & Research,19.176321
371,A,Diagnostics & Research,7.989919
144,BJ,Discount Stores,0.40280357
576,COST,Discount Stores,0.9021536
775,TGT,Discount Stores,1.2259921
760,WMT,Discount Stores,0.68013483
35,DLTR,Discount Stores,0.92028725
556,DG,Discount Stores,1.5080361
472,ABBV,Drug Manufacturers—General,3.980373
459,GILD,Drug Manufacturers—General,3.2806284
476,LLY,Drug Manufacturers—General,8.227971
717,MRK,Drug Manufacturers—General,4.0386305
544,AMGN,Drug Manufacturers—General,5.449632
212,JNJ,Drug Manufacturers—General,5.065169
767,BMY,Drug Manufacturers—General,3.466874
197,PFE,Drug Manufacturers—General,5.1658015
597,BIIB,Drug Manufacturers—General,4.639812
674,ELAN,Drug Manufacturers—Specialty & Generic,4.25205
248,TEVA,Drug Manufacturers—Specialty & Generic,0.7130734
287,TXMD,Drug Manufacturers—Specialty & Generic,7.273184
663,HEXO,Drug Manufacturers—Specialty & Generic,0
329,BHC,Drug Manufacturers—Specialty & Generic,1.3126557
704,TAK,Drug Manufacturers—Specialty & Generic,0.01636419
138,AMRX,Drug Manufacturers—Specialty & Generic,0.3891858
568,ZTS,Drug Manufacturers—Specialty & Generic,13.192158
119,MYL,Drug Manufacturers—Specialty & Generic,0
532,TAL,Education & Training Services,2.9887443
315,TEDU,Education & Training Services,0
570,EDU,Education & Training Services,3.3433895
20,TWOU,Education & Training Services,3.631972
738,PLUG,Electrical Equipment & Parts,-184.48773
74,BDC,Electrical Equipment & Parts,1.1381338
662,APH,Electronic Components,4.3460593
384,FLEX,Electronic Components,0.35968468
123,GLW,Electronic Components,2.7001734
500,ATVI,Electronic Gaming & Multimedia,8.29223
477,EA,Electronic Gaming & Multimedia,7.158691
408,ZNGA,Electronic Gaming & Multimedia,5.670147
503,TTWO,Electronic Gaming & Multimedia,5.9891906
486,BILI,Electronic Gaming & Multimedia,3.3041704
256,GLUU,Electronic Gaming & Multimedia,0
300,PWR,Engineering & Construction,1.0697309
31,FLR,Engineering & Construction,0.15282717
671,LYV,Entertainment,10.064801
22,WWE,Entertainment,4.6644397
585,ROKU,Entertainment,27.42796
135,AMC,Entertainment,67.720245
605,CHTR,Entertainment,2.6462102
686,CMCSA,Entertainment,2.501365
321,DISH,Entertainment,1.2587947
201,DISCA,Entertainment,1.2687782
273,HUYA,Entertainment,0.36320525
776,VIACA,Entertainment,1.0016336
285,NFLX,Entertainment,8.413379
50,DIS,Entertainment,5.1512036
241,DISCK,Entertainment,1.3655493
80,CAT,Farm & Heavy Construction Machinery,2.660716
124,DE,Farm & Heavy Construction Machinery,2.7871885
237,PCAR,Farm & Heavy Construction Machinery,1.5565625
274,BG,Farm Products,0.24160701
190,TSN,Farm Products,0.6196118
207,ADM,Farm Products,0.49636582
387,JEF,Financial Conglomerates,0.91011256
185,FDS,Financial Data & Stock Exchanges,8.008783
778,MCO,Financial Data & Stock Exchanges,11.492321
779,SPGI,Financial Data & Stock Exchanges,12.268252
549,CME,Financial Data & Stock Exchanges,16.439692
517,CBOE,Financial Data & Stock Exchanges,3.4411118
484,ICE,Financial Data & Stock Exchanges,10.114361
509,NDAQ,Financial Data & Stock Exchanges,4.8684974
432,MORN,Financial Data & Stock Exchanges,7.14088
276,SYY,Food Distribution,0.8307523
47,FL,Footwear & Accessories,0.783342
322,CROX,Footwear & Accessories,4.3559494
412,SKX,Footwear & Accessories,1.550537
405,NKE,Footwear & Accessories,5.2687554
