;0
TME;-10,387756146577066
FOXA;-10,378599912390724
LOW;-10,36975163333824
REGI;-10,360329466422066
WEN;-10,326211748528925
SYK;-10,314802935809526
FAST;-10,264895798548082
UNP;-10,25801980956577
GNTX;-10,251695284352374
CY;-10,184791222735353
DOW;-10,109698562367662
ATR;-10,070494820733947
MTG;-10,058729334327161
PGR;-10,04724549783258
NET;-10,025558843414341
SNAP;-10,022183025803601
ED;-9,936949571927197
KKR;-9,911763223311922
EFX;-9,830323027194858
RUN;-9,826547926515937
SBS;-9,688688085929806
DHI;-9,591260544311888
BSX;-9,524218517603183
UBER;-9,477678839811317
PLUG;-9,411452995929713
BILI;-9,241366654174875
TFX;-9,225224076732257
EL;-9,164173188636543
GO;-9,103214683908488
DIS;-8,858368395683256
ROKU;-8,84852029195478
BTG;-8,846167265599053
KMI;-8,842950731590411
XGN;-8,840324461001279
HLT;-8,754339403175104
CMCSA;-8,743309064877923
BRX;-8,739870876863279
AME;-8,715513281331756
QTWO;-8,710525482404497
ATUS;-8,690502522131224
CRM;-8,663280646580569
TSM;-8,655996503523864
EQH;-8,65041675470062
ADSK;-8,642558021189318
CBRE;-8,605503986253794
CIM;-8,548656318401173
LK;-8,53322008204579
DUK;-8,508553430939811
YUM;-8,435624108780525
PPL;-8,385827219792638
DOCU;-8,369593137956638
ZM;-8,30237409286427
LYV;-8,232596991124632
ASML;-8,206253473878247
ZNGA;-8,202748929157934
BIO;-8,133639731010518
NUVA;-8,125122687475242
NKE;-8,093662312997743
NTCO;-7,990080457697843
TW;-7,981700268058227
AXP;-7,9760802493949035
ZBRA;-7,968778380688851
LRCX;-7,954251480914031
CG;-7,8805205113048595
LMT;-7,879338094063083
NDAQ;-7,869464210455556
MORN;-7,832656526059511
TMUS;-7,81846275956496
HOLX;-7,808937176373741
GOOGL;-7,808391280045432
CTVA;-7,805390759066541
PDD;-7,77601713476579
DDOG;-7,758625355329004
NSC;-7,754948579039717
MELI;-7,659062007138661
TGT;-7,59970254357604
PTON;-7,567114008627346
GOOG;-7,561317085485417
WMT;-7,554111665185981
SMAR;-7,543160879418203
EW;-7,455251235934793
KMB;-7,45242883166521
WING;-7,420202973758069
INTU;-7,404779973509247
FWONK;-7,40206887763702
CME;-7,353435349436698
STNE;-7,33280006246107
ALL;-7,331111132999222
DRE;-7,3106994826758935
ROST;-7,30066845974726
AVB;-7,271742037759561
IGMS;-7,2496049074065665
SNE;-7,246858276983637
HEI;-7,244680646943704
HRL;-7,236685313897388
ADP;-7,167010576146857
PYPL;-7,163880271125248
AU;-7,11732517111874
ECL;-7,076113445607206
EQR;-7,073261291043973
FDS;-7,055632493480377
MCD;-7,043896667843373
TJX;-7,029587329312825
TWLO;-7,024563395325739
MTCH;-7,000231592331998
OKTA;-6,915693521061238
IBN;-6,892898722739967
ADBE;-6,860512432693105
PHM;-6,819245630292799
SPCE;-6,782355295671155
VRTX;-6,7782638312706975
VER;-6,763644796366016
ABT;-6,7407606879472635
ORLY;-6,71315400576963
KEYS;-6,649935456047204
PLD;-6,5786608980538395
VEEV;-6,527122356154255
NVCR;-6,500394403977835
LSCC;-6,45663141431891
SBUX;-6,453123931582963
INVH;-6,440392874951363
AMH;-6,352631171714151
BIP;-6,35154731823789
TMO;-6,345467245920581
TER;-6,334580374873894
CCI;-6,322647130433664
MDT;-6,291434323184928
SHW;-6,278662125236301
D;-6,220432916411748
AZO;-6,1691750812486195
FLT;-6,136638660713508
MMC;-6,119365920521601
TSLA;-6,115636013782038
PAYX;-6,046844861611554
CROX;-6,039661774198173
COLD;-6,013448774138449
VRSN;-5,937677344006475
WELL;-5,937425506916047
APD;-5,883006450813278
FIS;-5,814195847297836
AVLR;-5,796455161204237
APPS;-5,708608213317643
WU;-5,668665655452699
FTNT;-5,667764760229052
CDNS;-5,630246420234637
RMD;-5,629666549961746
DG;-5,545872840256174
ALLT;-5,478841113270976
EQIX;-5,478656441981856
MRK;-5,449487666050953
ICE;-5,431499035586754
KO;-5,4172160501507
O;-5,383889676632785
COST;-5,318962187727996
SRE;-5,315262613690232
FREQ;-5,3041866471679295
AAPL;-5,221245495733505
MCO;-5,21811715695021
AMD;-5,20223743466859
CTAS;-5,183802006288713
MSI;-5,183518789068328
PLAN;-5,17365492162223
SPGI;-5,081694773922627
CMG;-5,073556065887412
SNPS;-5,068675614312169
V;-5,0663436935649235
MDLZ;-5,066141374800695
BX;-5,0478522799834655
TPX;-4,985099092363495
ANSS;-4,957101265019689
ZTS;-4,930763157942161
VICI;-4,795598452534871
PEP;-4,792114197718201
RNG;-4,725492407280872
MA;-4,681212333231583
AES;-4,6811236722848175
WM;-4,559103821737065
LLY;-4,5572764049827175
BLL;-4,49911379009
VRSK;-4,477387013633159
DHR;-4,474543132475069
MPW;-4,4660479344999615
FISV;-4,462952227069188
LDOS;-4,369147567222926
XEL;-4,3536247172657045
FE;-4,322914894398583
BAM;-4,237793441601284
LULU;-4,236131584231508
AMT;-4,211744612358363
AEP;-4,1580769603126315
BAH;-4,10230295614549
SHOP;-3,921982867210705
CHTR;-3,9054273957582177
MSFT;-3,9042831289098627
SO;-3,88009996848168
BEP;-3,874995241251601
NEE;-3,5195402780979848
PG;-3,3460265080287916
AR;3,676945921237108
AA;3,9231476403071612
TEDU;3,926147196574193
FTR;4,0445181417932545
TRQ;4,218421474574393
SLCA;4,330821688528693
GCI;4,3693356821034435
CC;4,569904461617266
X;4,60456950803219
OVV;4,608109550091349
MDRIQ;4,7270066036200085
HAL;4,771089561929899
RES;4,793612431962567
LPI;4,833964181169052
TLRD;4,978455615230329
ENLC;5,1558608236292764
SLB;5,2606344645297805
QRTEA;5,261906954305713
CPE;5,289971720166081
EQT;5,43240275181802
SUPV;5,452560987163003
WLL;5,456443860199773
WB;5,478749265179829
CBL;5,487943981831666
AM;5,624737283846278
CDEV;5,631218105019476
CNDT;5,675693128531791
OLN;5,728184417279145
DXC;5,9048477076788135
NBR;5,909606875301578
TTM;5,91904845665475
CLVS;5,938567310474245
RLGY;5,972888994750232
WPG;6,011318538366355
KHC;6,041468878748923
OAS;6,045687054358998
PTEN;6,06010915261692
HOME;6,122824840440354
DO;6,2591513249665995
CHS;6,263902346619077
MGI;6,2753764714684594
TWOU;6,300148899840322
RRC;6,3835432496501205
MIK;6,415453197446263
IVZ;6,438823127876378
OXY;6,515526197058358
PDCE;6,584790572534821
IGT;6,587567800752553
SQM;6,601426123037506
DHC;6,613659929755405
JCP;6,64577512189069
XEC;6,717729260424149
BIDU;6,7317196810336855
FCAU;6,766839112878749
QD;6,834508479251612
NKTR;6,838234976507246
GPOR;6,84075265945753
COMM;6,882086045157465
GT;6,901478342103321
CLR;6,903839446697781
CRZO;6,922210416863463
OSTK;7,064621951158158
QEP;7,081673896132694
AMC;7,1030396216528136
TPR;7,135252691111209
STAY;7,204834109645778
DD;7,216782495609671
CAJ;7,3287743903860925
PAM;7,386087547659418
CARS;7,459254476477931
CNX;7,488650280758759
BBAR;7,512278534916034
BKR;7,61855225649597
FTI;7,630610941274868
PE;7,631344591622881
WRK;7,7718047693463115
GME;7,832465744582287
CXO;7,884885150559977
GGAL;7,888118667236462
PBI;7,902167595915015
TECK;7,919044563710061
IAG;7,951703510575109
MTDR;7,956548723149952
FDX;8,009333674003265
MFG;8,066110816142302
NOV;8,190715112290787
MPLX;8,249772998641985
YPF;8,304798018006275
CMA;8,309784599315847
LOMA;8,422138884997207
AOS;8,471048988108679
ABEV;8,482425010980263
GRPN;8,50646689343666
KT;8,53894312364654
STLD;8,578359056206716
ONVO;8,655512092006443
BG;8,670378476202641
TXMD;8,751284893206025
ZNH;8,782315584176049
M;8,876116092387578
LTM;8,901335587036277
ETFC;8,902817281985227
SKT;8,90402828608622
GPS;8,912803967199661
GEO;8,956223337166497
SM;8,96712398413611
IBKR;8,991646576574427
TV;9,019454123666819
RAD;9,113942871430604
BB;9,155321730101118
DVN;9,242920577640543
UNIT;9,283086124900416
ARR;9,283890388073658
LPL;9,300720489465192
MLCO;9,312272331795597
AMRX;9,37267330237702
PCG;9,400782027516371
FLR;9,427333024357075
COG;9,427392036078215
HIMX;9,44084215936074
EQNR;9,442035828122071
WY;9,537197566003346
PAA;9,620783843793319
MYL;9,648844126455158
CHK;9,832433943800991
MRO;9,835051515615891
ERJ;9,923084358177219
HFC;9,969619538964741
FVE;10,016425076421168
AAL;10,040006153564445
KDP;10,05653625301966
UNM;10,059668511539382
MUFG;10,095333993519715
IMGN;10,104001274140813
NBL;10,108455545410209
CCL;10,114868848164573
YY;10,117617381897798
STI;10,148359092894516
SENS;10,15211108505497
EOG;10,237439761673752
SWN;10,28980352194937
VGR;10,304934357614437
CRC;10,306863117973954
FFIV;10,402889847091364
HLF;10,410322163635552
INFN;10,41293785634994
SGMO;10,4149939844916
MUX;10,457641150726214
PXD;10,477440256342692
BOX;10,52782455236889
FSK;10,53993505004679
HMC;10,60118174629285
SFM;10,678037820504054
CCO;10,75230283639347
BMA;10,783143527627571
LXRX;10,878156803120289
MPC;10,884444688156321
EVR;10,966255179110858
